,exp,beta_i,t0,s
84,3284,0.00011111111111111112,200.0,0.7731504970126681
85,3285,0.00011111111111111112,200.0,0.7605890697903104
86,3286,0.00011111111111111112,200.0,0.8068235715230306
87,3287,0.00011111111111111112,200.0,0.8013969527350532
88,3288,0.00011111111111111112,200.0,0.7781906127929688
89,3289,0.00011111111111111112,200.0,0.8039900991651747
90,3290,0.00011111111111111112,200.0,0.7785247166951498
91,3291,0.00011111111111111112,200.0,0.8063711060418023
92,3292,0.00011111111111111112,200.0,0.8143793212042915
93,3293,0.00011111111111111112,200.0,0.7244211832682291
94,3294,0.00011111111111111112,200.0,0.766721248626709
95,3295,0.00011111111111111112,200.0,0.7765568627251519
96,3296,0.00011111111111111112,200.0,0.3294200367397732
97,3297,0.00011111111111111112,200.0,0.7491742240058051
98,3298,0.00011111111111111112,200.0,0.806793106926812
99,3299,0.00011111111111111112,200.0,0.6683435440063477
100,3300,0.00011111111111111112,300.0,-0.9904743830362955
101,3301,0.00011111111111111112,300.0,0.8878125614590116
102,3302,0.00011111111111111112,300.0,0.7086348003811307
103,3303,0.00011111111111111112,300.0,-0.9963250690036349
104,3304,0.00011111111111111112,300.0,0.8872851795620389
105,3305,0.00011111111111111112,300.0,0.8616827858818902
106,3306,0.00011111111111111112,300.0,-0.9964543448554145
107,3307,0.00011111111111111112,300.0,-0.9890460968017578
108,3308,0.00011111111111111112,300.0,0.894134415520562
109,3309,0.00011111111111111112,300.0,0.8528913391960992
110,3310,0.00011111111111111112,300.0,0.8888249927096896
111,3311,0.00011111111111111112,300.0,0.7904812494913737
112,3312,0.00011111111111111112,300.0,0.8955503039889865
