,exp,beta_i,t0,std,mean
9422,29430,0.006248236946559435,1000,1.1615568201868536,2.9240838255002983
9423,29431,0.006248236946559435,1000,1.3224337321144515,2.8576381733754657
9424,29432,0.006248236946559435,1000,1.56636943825418,2.693686220299431
9425,29433,0.006248236946559435,1000,1.7910108906029258,2.5623712098041174
9426,29434,0.006248236946559435,1000,1.3091887666552395,2.8457711615659305
9427,29435,0.006248236946559435,1000,1.3928605058825752,2.8072487777285415
9428,29436,0.006248236946559435,1000,1.9890760111428698,2.3522940715494385
9429,29437,0.006248236946559435,1000,1.4658035459901313,2.7730806161633095
9430,29438,0.006248236946559435,1000,2.0297529377939383,2.309298137463085
9431,29439,0.006248236946559435,1000,1.106821036881143,2.9302757200267497
9432,29440,0.006248236946559435,1000,1.3015008283657419,2.8594596215418213
9433,29441,0.006248236946559435,1000,1.497477483352111,2.7626287276020367
9434,29442,0.006248236946559435,1000,1.5533556805036706,2.687538479474706
9435,29443,0.006248236946559435,1000,1.4710286214046597,2.7658792825975347
9436,29444,0.006248236946559435,1000,1.6599645999278039,2.6866828425415243
9437,29445,0.006248236946559435,1000,1.0607828540431141,2.9589038805975756
9438,29446,0.006248236946559435,1000,1.346239255736903,2.833271329710775
9439,29447,0.006248236946559435,1000,1.7548651350592093,2.5877535996157888
9440,29448,0.006248236946559435,1000,1.5575760987641474,2.7185596144724737
9441,29449,0.006248236946559435,1000,1.418377186138677,2.7639731998036234
9442,29450,0.006248236946559435,1000,1.1860348150595954,2.892544438791277
9443,29451,0.006248236946559435,1000,1.816307371161035,2.52451786697133
9444,29452,0.006248236946559435,1000,2.0808693779080754,2.263061979722025
9445,29453,0.006248236946559435,1000,1.1910577284304977,2.910817540611927
9446,29454,0.006248236946559435,1000,1.1103546622256653,2.9450004660932643
9447,29455,0.006248236946559435,1000,1.4217454029066448,2.7985690352338954
9448,29456,0.006248236946559435,1000,2.0129679864419403,2.378288631314676
9449,29457,0.006248236946559435,1000,1.7639028309772116,2.5944397706314226
9450,29458,0.006248236946559435,1000,1.2079481315476048,2.922899847976904
9451,29459,0.006248236946559435,1000,1.5713960974233312,2.6979837713311334
9452,29460,0.006248236946559435,1000,2.2200834906138787,2.225629687641255
9453,29461,0.006248236946559435,1000,1.9446096331095428,2.4215453178459536
9454,29462,0.006248236946559435,1000,1.0497589634869837,2.9662614011776594
9455,29463,0.006248236946559435,1000,1.198852714075904,2.9086784803017323
